Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000214;155680180;A01;0;7;0;2;1;15;1;
202300000215;155680178;A01;2;30;0;2;3;9;1;
202300000215;155680181;B01;1;7;0;2;3;1;1;
202300000216;155680174;A01;0;7;0;1;2;1;1;
202300000217;155680172;B01;2;7;0;2;0;1;1;
202300000217;155680175;A01;1;80;0;2;0;1;3;
202300000218;155680170;A01;1;10;0;2;1;2;1;
202300000218;155680171;B01;1;7;0;2;4;2;1;
202300000218;155680173;C01;1;7;0;2;4;2;1;
202300000218;155680176;D01;1;10;0;2;4;2;1;
202300000218;155680177;Z01;1;15;0;2;4;0;0;
202300000219;155680167;A01;0;3;0;2;1;0;-1;
202300000219;155680169;B01;0;3;0;2;1;0;-1;
202300000220;155680166;B01;2;40;0;2;1;1;3;
202300000220;155680168;A01;1;7;0;4;2;1;1;
202300000221;155680164;A01;1;7;0;2;2;2;1;
202300000221;155680165;B01;1;1;0;0;6;2;5;
202300000222;155680159;B01;3;10;0;2;1;0;0;
202300000222;155680163;A01;3;7;0;2;8;9;1;
202300000223;155680161;A01;1;10;0;2;8;11;1;
202300000223;155680162;B01;1;7;0;2;2;1;1;
202300000224;155680158;A01;1;30;0;2;8;18;1;
202300000224;155680160;B01;1;7;0;2;2;1;1;
202300000225;155680154;B01;2;31;0;2;3;1;1;
202300000225;155680156;A01;1;7;0;2;2;1;1;
202300000226;155680153;A01;1;7;0;2;1;1;0;
202300000226;155680155;B01;2;7;0;2;1;1;0;
202300000226;155680157;C01;1;7;0;2;0;1;0;
202300000227;155680152;A01;2;37;0;1;1;1;1;1.0
202300000228;155680150;A01;1;7;0;1;3;1;1;
202300000229;155680149;B01;1;50;0;2;1;1;3;
202300000229;155680151;A01;1;7;0;2;3;16;1;
202300000230;155680148;B01;1;10;0;1;2;0;1;
202300000231;155680145;B01;1;32;0;2;2;1;1;
202300000231;155680147;A01;1;7;0;2;8;20;1;
202300000232;155680143;A01;0;7;0;2;2;15;1;
202300000232;155680146;B01;0;33;0;2;1;1;1;
202300000233;155680142;A01;1;7;0;2;1;2;1;
202300000233;155680144;B01;1;7;0;2;4;2;1;
202300000234;155680140;A01;1;7;0;2;1;1;1;
202300000234;155680141;B01;1;7;0;2;4;1;1;
202300000235;155680139;A01;3;0;0;1;1;0;0;
